epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
1,0.4351,1.4497,1.3568,0.5228,1.3482,1.2504,0.0010000,4732,,,
2,0.5051,1.5552,1.2787,0.5333,1.3122,1.2312,0.0010000,9272,,,
3,0.5529,1.1078,1.0553,0.5497,1.2709,1.2086,0.0010000,13861,,,
4,0.5846,1.1475,1.0032,0.5672,1.2248,1.1850,0.0010000,18388,,,
5,0.6120,1.2225,1.0202,0.5919,1.1713,1.1602,0.0010000,22893,,,
6,0.6312,1.2283,1.0337,0.6150,1.1157,1.1266,0.0010000,27335,,,
7,0.6433,0.9486,0.9101,0.6438,1.0532,1.0846,0.0010000,31789,,,
8,0.6680,0.6676,0.6525,0.6739,0.9806,1.0235,0.0010000,36280,,,
9,0.6701,1.0366,0.8949,0.6977,0.9043,0.9511,0.0010000,40726,,,
10,0.6803,0.9291,0.9145,0.7213,0.8306,0.8702,0.0010000,46825,0.7194,0.8348,0.8744
11,0.6955,0.8618,0.8854,0.7422,0.7681,0.7944,0.0009044,51270,,,
12,0.6942,1.1459,0.9287,0.7525,0.7258,0.7398,0.0009044,55712,,,
13,0.7113,1.0889,0.9099,0.7600,0.6940,0.7029,0.0009044,60135,,,
14,0.7170,0.6750,0.6732,0.7718,0.6699,0.6711,0.0009044,64565,,,
15,0.7167,0.8483,0.7378,0.7759,0.6544,0.6459,0.0009044,69026,,,
16,0.7168,0.7857,0.7037,0.7808,0.6372,0.6272,0.0009044,73502,,,
17,0.7244,0.5185,0.5842,0.7864,0.6233,0.6100,0.0009044,77980,,,
18,0.7293,0.8674,0.7731,0.7927,0.6078,0.5977,0.0009044,82376,,,
19,0.7362,0.9789,0.7884,0.7989,0.5969,0.5865,0.0009044,86733,,,
20,0.7338,0.7538,0.7198,0.8034,0.5852,0.5777,0.0009044,92738,0.8002,0.5947,0.5817
21,0.7461,0.7373,0.7298,0.8053,0.5785,0.5669,0.0008179,97050,,,
22,0.7469,0.5922,0.6014,0.8083,0.5703,0.5584,0.0008179,101275,,,
23,0.7483,0.6428,0.6408,0.8118,0.5631,0.5483,0.0008179,105541,,,
24,0.7466,0.7245,0.6426,0.8152,0.5535,0.5388,0.0008179,109712,,,
25,0.7538,0.6272,0.6477,0.8169,0.5464,0.5350,0.0008179,113972,,,
26,0.7533,0.8386,0.7529,0.8193,0.5398,0.5301,0.0008179,118087,,,
27,0.7537,0.6040,0.5844,0.8207,0.5346,0.5251,0.0008179,122168,,,
28,0.7647,0.6170,0.6775,0.8221,0.5308,0.5204,0.0008179,126233,,,
29,0.7621,0.2921,0.4082,0.8228,0.5266,0.5149,0.0008179,130297,,,
30,0.7662,0.6256,0.5323,0.8231,0.5248,0.5106,0.0008179,135913,0.8251,0.5317,0.5170
31,0.7747,0.7687,0.7339,0.8242,0.5199,0.5064,0.0007397,139990,,,
32,0.7679,0.9034,0.7852,0.8260,0.5150,0.5001,0.0007397,144204,,,
33,0.7729,0.6632,0.6004,0.8284,0.5113,0.4958,0.0007397,148533,,,
34,0.7742,0.4740,0.4967,0.8286,0.5110,0.4938,0.0007397,152889,,,
35,0.7798,0.7066,0.6878,0.8272,0.5097,0.4904,0.0007397,157239,,,
36,0.7750,0.4737,0.5106,0.8317,0.5053,0.4845,0.0007397,161621,,,
37,0.7814,0.7579,0.6562,0.8320,0.5040,0.4819,0.0007397,165940,,,
38,0.7756,0.6282,0.6134,0.8323,0.5002,0.4794,0.0007397,170260,,,
39,0.7816,0.7348,0.6770,0.8329,0.4959,0.4752,0.0007397,174639,,,
40,0.7815,0.6032,0.5247,0.8366,0.4914,0.4725,0.0007397,180716,0.8382,0.5016,0.4820
41,0.7825,0.7059,0.6781,0.8374,0.4899,0.4700,0.0006690,185039,,,
42,0.7833,0.4808,0.4825,0.8384,0.4875,0.4686,0.0006690,189397,,,
43,0.7925,0.6472,0.5895,0.8395,0.4860,0.4659,0.0006690,193692,,,
44,0.7939,0.5821,0.5951,0.8388,0.4853,0.4642,0.0006690,197871,,,
45,0.7957,0.7015,0.6377,0.8410,0.4842,0.4619,0.0006690,202111,,,
46,0.8000,0.3139,0.3501,0.8417,0.4840,0.4598,0.0006690,206244,,,
47,0.7907,0.5588,0.5893,0.8428,0.4841,0.4591,0.0006690,210445,,,
48,0.7922,0.7877,0.6865,0.8428,0.4839,0.4577,0.0006690,214626,,,
49,0.7972,0.4654,0.4872,0.8437,0.4827,0.4558,0.0006690,218735,,,
50,0.7943,0.5574,0.5684,0.8441,0.4801,0.4530,0.0006690,224666,0.8418,0.4844,0.4602
